,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
0,spotify:track:3RaCGXCiiMufRPoexXxGkV,Slime You Out (feat. SZA),Drake,True,0.483,0.408,5,-9.243,0.0502,0.508,0.0,0.259,0.105,88.88,90,
1,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Doja Cat,True,0.868,0.538,5,-8.603,0.174,0.269,3.34e-06,0.0901,0.732,99.968,100,"[Intro: Dionne Warwick]ByWalk on byWalk on byWalk on byWalk on by[Chorus: Doja Cat]Yeah, bitch, I said what I saidI'd rather be famous insteadI let all that get to my headI don’t care, I paint the town redBitch, I said what I saidI'd rather be famous insteadI let all that get to my headI don't care, I paint the town red[Post-Chorus: Doja Cat]Mm, she the devilShe a bad lil’ bitch, she a rebelShe put her foot to the pedalIt'll take a whole lot for me to settleMm, she the devilShe a bad lil' bitch, she a rebelShe put her foot to the pedalIt'll take a whole lot for me to settle (Yeah, yeah)"
2,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,True,0.559,0.551,5,-7.231,0.132,0.141,0.0,0.11,0.392,143.008,92,"[Intro]OohI think I know[Verse 1]I'll touch that fire for youI do that three, four times again, I testify for youI told that lie, I'd kill that bitchI do what all of them around you scared to do, I'm notLong as you juggin' out here for me, I got itMobbin', schemin', lootin', hide your bodiesLong as you dreamin' 'bout me, ain't no problemI don't got nobody, just with you right nowTell the truth, I look better under you[Chorus]I can't lose when I'm with youHow can I snooze and miss the moment?You just too importantNobody do body like you doI can't lose when I'm with youI can't just snooze and miss the momentYou just too importantNobody do body like you do, you do[Verse 2]In a droptop ride with you, I feel like Scarface (Scarface)Like that white bitch with the bob, I'll be your main one (Your main one)Lеt's take this argument back up to my place (My placе)Sex remind you I'm nonviolent, I'm your day one (Day one)We ain't have shit yet, it was magic, yeahSmash and grab shit, yeahNasty habits take a hold when you not hereAin't a home when you not hereHard to grow when you not here, I'm sayin'"
3,spotify:track:1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,Luke Combs,False,0.712,0.603,8,-5.52,0.0262,0.186,0.0,0.115,0.67,97.994,90,"[Verse 1]You got a fast carAnd I want a ticket to anywhereMaybe we make a dealMaybe together we can get somewhereAny place is betterStartin' from zero, got nothin' to loseMaybe we'll make somethingMe, myself, I got nothin' to prove[Verse 2]You got a fast carAnd I got a plan to get us out of hereI've been workin' at the convenience storeManaged to save just a little bit of moneyWon't have to drive too farJust across thе border and into the cityAnd you and I can both get jobsFinally see what it mеans to be livin'[Verse 3]See, my old man's got a problemHe live in the bottle, that's the way it isHe said his body's too old for workingHis body's too young to look like hisSo Mama went off and left himShe wanted more from life than he could giveI said, ""Somebody's gotta take care of him""So I quit school and that's what I did"
4,spotify:track:4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,False,0.429,0.453,0,-7.746,0.0459,0.554,2e-06,0.102,0.155,77.639,93,
5,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,False,0.552,0.702,9,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994,99,"[Intro](Yeah, yeah, yeah, yeah)[Verse 1]Fever dream high in the quiet of the nightYou know that I caught it (Oh yeah, you're right, I want it)Bad, bad boy, shiny toy with a priceYou know that I bought it (Oh yeah, you're right, I want it)[Pre-Chorus]Killing me slow, out the windowI'm always waiting for you to be waiting belowDevils roll the dice, angels roll their eyesWhat doesn't kill me makes me want you more[Chorus]And it's new, the shape of your bodyIt's blue, the feeling I've gotAnd it's ooh, woah-ohIt's a cruel summerIt's cool, that's what I tell 'emNo rules in breakable heavenBut ooh, woah-ohIt's a cruel summer with you[Verse 2]Hang your head low in the glow of the vending machineI'm not dying (Oh yeah, you're right, I want it)We say that we'll just screw it up in these trying timesWe're not trying (Oh yeah, you're right, I want it)"
6,spotify:track:1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,True,0.511,0.532,5,-5.745,0.0578,0.177,0.0,0.291,0.35,138.005,95,"[Verse 1]Hate to give the satisfaction asking how you're doing nowHow's the castle built off people you pretend to care about?Just what you wantedLook at you, cool guy, you got itI see the parties and the diamonds sometimes when I close my eyesSix months of torture you sold as some forbidden paradiseI loved you trulyYou gotta laugh at the stupidity[Chorus]'Cause I've made some real big mistakesBut you make the worst one look fineI should've known it was strangeYou only come out at nightI used to think I was smartBut you made me look so naiveThe way you sold me for partsAs you sunk your teeth into me, ohBloodsucker, fame fuckerBleedin' me dry like a goddamn vampire[Verse 2]And every girl I ever talked to told me you were bad, bad newsYou called them crazy, God, I hate the way I called 'em crazy tooYou're so convincingHow do you lie without flinching?(How do you lie? How do you lie? How do you lie?)Oh, what a mesmerizing, paralyzing, fucked up little thrillCan't figure out just how you do it and God knows I never willWent for me and not her'Cause girls your age know better"
7,spotify:track:7K3BhSpAxZBznislvUMVtn,Last Night,Morgan Wallen,True,0.492,0.675,6,-5.456,0.0389,0.467,0.0,0.142,0.478,203.759,86,"[Intro]Last night, we let the liquor talkI can't remember everything we said, but we said it allYou told me that you wish I was somebody you never metBut, baby, baby, something's tellin' me this ain't over yet[Verse 1]No way it was our last night I kissed your lipsMake you grip the sheets with your fingertipsLast bottle of Jack, we split a fifthJust talkin' 'bout life, goin' sip for sipYeah, you, you know you love to fightAnd I say shit I don't meanBut I'm still gon' wake up wantin' you and me[Chorus]I know that last night, we let the liquor talkI can't remember everything we said, but we said it allYou told me that you wish I was somebody you never metBut, baby, baby, something's tellin' me this ain't over yetNo way it was our last night (Last night)No way it was our last night (Last night)[Verse 2]No way it was the last night that we break upI see your tail lights in the dustYou call your mama, I call your bluffIn the middle of the night, pull it right back upYeah, my, my friends say, ""Let her go""Your friends say, ""What the hell?""I wouldn't trade your kind of love for nothin' else"
8,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,True,0.847,0.622,1,-6.747,0.0903,0.119,0.0,0.285,0.22,130.001,95,"[Intro](Ooh, Dunk Rock)[Chorus]Fuck you mean?Young Gunna Wunna back, callin' me splurgeWatch me jump right off the curbBentley Spur fly like a birdSpin on the first and the thirdSolid, I'm keepin' my wordCan't be my equal, I don't know what you heardCrank up the foreign, I swerveKeep me a stick if they purge[Bridge]Ha, ha, ha, haHa, ha, ha, ha[Verse]Fuck you mean?Young Gunna Wunna, they workin' my nervesI'm about to pour up some syrupFucking this bitch like a perv'Smack from the back, grab her permIce, the berg, uh, shittin' on all you lil' turdsCan't take that dick, wait your turnIn my own lane, we can't mergeSuck with no hands, you can learnLet's see how much you can earnWatch me go big likе the WormAnd I ain't smokin' no shermI'm in this bitch with P LiityQP, QP-skiAll of my bitches is prеtty, they showin' they titties, it's up to the ceilin'I let her run through a million, I rock with her really, let's fuck on a billionI'ma get down to the gritty, then fuck up the city, the home of the villainsEcstasy, wonderful feelin'Smoke out the pound when I'm chillin'Trappin', I made me a killin'Look, I got everybody wishin'I hope you play your positionI don't want nobody listenin'I see the ho with precisionGet rich my only decision"
9,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,Dua Lipa,False,0.671,0.845,11,-4.93,0.048,0.0207,0.0,0.329,0.775,110.056,95,
