,Unnamed: 0,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
0,0,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Doja Cat,True,0.868,0.538,5,-8.603,0.174,0.269,3.34e-06,0.0901,0.732,99.968,100,"[Intro: Dionne Warwick]ByWalk on byWalk on byWalk on byWalk on by[Chorus: Doja Cat]Yeah, bitch, I said what I saidI'd rather be famous insteadI let all that get to my headI don’t care, I paint the town redBitch, I said what I saidI'd rather be famous insteadI let all that get to my headI don't care, I paint the town red[Post-Chorus: Doja Cat]Mm, she the devilShe a bad lil’ bitch, she a rebelShe put her foot to the pedalIt'll take a whole lot for me to settleMm, she the devilShe a bad lil' bitch, she a rebelShe put her foot to the pedalIt'll take a whole lot for me to settle (Yeah, yeah)"
2,2,spotify:track:3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,True,0.75,0.733,6,-3.18,0.0319,0.256,0.0,0.114,0.844,111.018,96,"[Intro](Woo)[Verse 1]He said, ""Are you serious? I've tried, but I can't figure outI've been next to you all night and still don't know what you're aboutYou keep ta- (Ta-ta-), talkin', but not much comin' out your mouthCan't you tell that I want you?"" I say, yeah[Chorus]I would want myselfBaby, please believe meI'll put you through hellJust to know me, yeah, yeahSo sure of yourselfBaby, don't get greedyThat shit won't end wellNo, it won't end well[Interlude](Uh-uh, uh-uh-uh, uh-uh, woo)[Verse 2]I see you eyein' me down, but you'll never know much past my nameOr how I'm runnin' this room around and that I'm still half your ageYeah, you're loo- (Loo-loo-), lookin' at me like I'm some sweet escapeObvious that you want me, but I said"
4,4,spotify:track:5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,False,0.628,0.523,11,-8.307,0.0946,0.701,0.00274,0.219,0.416,169.982,96,"[Intro]Uh-huh, uh-huh, uhUh-huh, uh-huh, uhUh-huh, uh-huh, uhUh-huh, uh-huh[Verse 1]It always ends the sameWhen it was me and youBut every time I meet somebody newIt's like déjà vu (Déjà vu)I swear they sound the sameIt's like they know my skinEvery word they say sounds just like himAnd it goes like this[Chorus]We'll get in your car and you'll lean to kiss meWe'll talk for hours and lie on the backseatUh-huh, uh-huh, uhUh-huh, uh-huhAnd then one random night when everything changesYou won't reply and we'll go back to strangersUh-huh, uh-huh, uhUh-huh, uh-huh, uh"
5,5,spotify:track:1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,True,0.511,0.532,5,-5.745,0.0578,0.177,0.0,0.291,0.35,138.005,95,"[Verse 1]Hate to give the satisfaction asking how you're doing nowHow's the castle built off people you pretend to care about?Just what you wantedLook at you, cool guy, you got itI see the parties and the diamonds sometimes when I close my eyesSix months of torture you sold as some forbidden paradiseI loved you trulyYou gotta laugh at the stupidity[Chorus]'Cause I've made some real big mistakesBut you make the worst one look fineI should've known it was strangeYou only come out at nightI used to think I was smartBut you made me look so naiveThe way you sold me for partsAs you sunk your teeth into me, ohBloodsucker, fame fuckerBleedin' me dry like a goddamn vampire[Verse 2]And every girl I ever talked to told me you were bad, bad newsYou called them crazy, God, I hate the way I called 'em crazy tooYou're so convincingHow do you lie without flinching?(How do you lie? How do you lie? How do you lie?)Oh, what a mesmerizing, paralyzing, fucked up little thrillCan't figure out just how you do it and God knows I never willWent for me and not her'Cause girls your age know better"
7,7,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,False,0.552,0.702,9,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994,99,"[Intro](Yeah, yeah, yeah, yeah)[Verse 1]Fever dream high in the quiet of the nightYou know that I caught it (Oh yeah, you're right, I want it)Bad, bad boy, shiny toy with a priceYou know that I bought it (Oh yeah, you're right, I want it)[Pre-Chorus]Killing me slow, out the windowI'm always waiting for you to be waiting belowDevils roll the dice, angels roll their eyesWhat doesn't kill me makes me want you more[Chorus]And it's new, the shape of your bodyIt's blue, the feeling I've gotAnd it's ooh, woah-ohIt's a cruel summerIt's cool, that's what I tell 'emNo rules in breakable heavenBut ooh, woah-ohIt's a cruel summer with you[Verse 2]Hang your head low in the glow of the vending machineI'm not dying (Oh yeah, you're right, I want it)We say that we'll just screw it up in these trying timesWe're not trying (Oh yeah, you're right, I want it)"
9,9,spotify:track:7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,False,0.706,0.691,0,-4.775,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,87,"[Verse 1]We were good, we were goldKinda dream that can't be soldWe were right 'til we weren'tBuilt a home and watched it burn[Pre-Chorus]Mm, I didn't wanna leave you, I didn't wanna lieStarted to cry, but then remembered I[Chorus]I can buy myself flowersWrite my name in the sandTalk to myself for hoursSay things you don't understandI can take myself dancingAnd I can hold my own handYeah, I can love me better than you can[Post-Chorus]Can love me better, I can love me better, babyCan love me better, I can love me better, baby[Verse 2]Paint my nails cherry-redMatch the roses that you leftNo remorse, no regretI forgive every word you said"
13,13,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,False,0.52,0.731,6,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,94,"[Intro]Come on, Harry, we wanna say goodnight to you[Verse 1]Holdin' me backGravity's holdin' me backI want you to hold out the palm of your handWhy don't we leave it at that?Nothin' to sayWhen everything gets in the waySeems you cannot be replacedAnd I'm the one who will stay, oh-oh-oh[Chorus]In this world, it's just usYou know it's not the same as it wasIn this world, it's just usYou know it's not the same as it wasAs it was, as it wasYou know it's not the same[Verse 2]Answer the phone""Harry, you're no good aloneWhy are you sitting at home on the floor?What kind of pills are you on?""Ringin' the bellAnd nobody's coming to helpYour daddy lives by himselfHe just wants to know that you're well, oh-oh-oh"
14,14,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,False,0.504,0.308,9,-14.958,0.0321,0.868,0.135,0.158,0.121,113.95,91,"[Verse 1]Moon, a hole of lightThrough the big top tent up highHere before and after meShinin' down on meMoon, tell me if I couldSend up my heart to you?So, when I die, which I must doCould it shine down here with you?[Chorus]'Cause my love is mine, all mineI love, my, my, mineNothing in the world belongs to meBut my love, mine, all mine, all mine[Verse 2]My baby here on earthShowed me what my heart was worthSo, when it comes to be my turnCould you shine it down here for her?[Chorus]'Cause my love is mine, all mineI love, my, my, mineNothing in the world belongs to meBut my love, mine, all mineNothing in the world is mine for freeBut my love, mine, all mine, all mine"
22,22,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,True,0.847,0.622,1,-6.747,0.0903,0.119,0.0,0.285,0.22,130.001,95,"[Intro](Ooh, Dunk Rock)[Chorus]Fuck you mean?Young Gunna Wunna back, callin' me splurgeWatch me jump right off the curbBentley Spur fly like a birdSpin on the first and the thirdSolid, I'm keepin' my wordCan't be my equal, I don't know what you heardCrank up the foreign, I swerveKeep me a stick if they purge[Bridge]Ha, ha, ha, haHa, ha, ha, ha[Verse]Fuck you mean?Young Gunna Wunna, they workin' my nervesI'm about to pour up some syrupFucking this bitch like a perv'Smack from the back, grab her permIce, the berg, uh, shittin' on all you lil' turdsCan't take that dick, wait your turnIn my own lane, we can't mergeSuck with no hands, you can learnLet's see how much you can earnWatch me go big likе the WormAnd I ain't smokin' no shermI'm in this bitch with P LiityQP, QP-skiAll of my bitches is prеtty, they showin' they titties, it's up to the ceilin'I let her run through a million, I rock with her really, let's fuck on a billionI'ma get down to the gritty, then fuck up the city, the home of the villainsEcstasy, wonderful feelin'Smoke out the pound when I'm chillin'Trappin', I made me a killin'Look, I got everybody wishin'I hope you play your positionI don't want nobody listenin'I see the ho with precisionGet rich my only decision"
23,23,spotify:track:5sdQOyqq2IDhvmx2lHOpwd,Super Shy,NewJeans,False,0.776,0.817,5,-6.018,0.0748,0.18,3.44e-05,0.146,0.515,149.921,92,"[뉴진스 ""Super Shy"" 가사][Chorus: Danielle, Hyein, Hanni, Haerin]I'm super shy, super shyBut wait a minute while I make you mine, make you mine떨리는 지금도, you're on my mind all the timeI wanna tell you but I'm super shy, super shyI'm super shy, super shyBut wait a minute while I make you mine, make you mine떨리는 지금도, you're on my mind all the timeI wanna tell you but I'm super shy, super shy[Verse 1: Hyein, Minji]And I wanna go out with youWhere you wanna go? (Huh?)Find a lil spot, just sit and talkLooking pretty, follow me우리 둘이 나란히보이지? (봐)내 눈이 (Heh)갑자기, 빛나지When you say I'm your dream[Refrain: Hanni, Danielle, Minji]You don't even know my name, do ya?You don't even know my name, do ya?누구보다도"
