,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
5,spotify:track:51RaJOy09JMFHyPaDgXxBO,The Secret Recipe,Lil Yachty,True,0.569,0.811,5,-4.562,0.336,0.696,0.0,0.156,0.69,144.642,67,"[Intro: Lil Yachty]Yeah[Verse 1: Lil Yachty]Allegedly, they figured out that I'm the secret recipeThe baddest hoes gon' test the E, then blame the high for wantin' sexI never wanted peace, fuck all the opps, I support Malcolm XThe stack of chains is just a frontOvertaxed and underwhelming, your jeweler pulled a major stuntI don't smoke weed, already blunt, all of my cars, I had to huntMy doggy young as hell but still'll step, we call him baby runtLike window shoppers, I see through every frontI speak on what I need, I foresee everything I wantI block out anything I hate and still the hardest, still unpaidThe notice went unseen, the tenants too relaxedThe standards have collapsed, they wrote me in with lamesThey treat me like I'm them, they hate I overcameRefuse to pat my back, refuse to shake my handRefuse to give me props when I am not aroundRefuse to act like I ain't shift the sound, like I ain't push the cultureLike several vultures ain't come after meLike several vultures ain't come after me, still, I keep it PYeah, we still digress, and I'm playin' checkers, I ain't playin' chess'Cause I don't go 'round on niggas, we go over niggasI'll show you niggas, I'm personally nothin' like ya and plus I never liked youI'm rich as hell, I'd never fight you, I'll have somebody snipe youMy doggy lucky on the edge, holdin' on by a threadJust like a kite, it wouldn't cost a priceAnd even if it did, it always be right, just like I'm Bob BarkerWhen I speak, pay attention, go over my words like highlight markersMy only celebrity crush is Nikki ParkerThey said I got a type, said all my hoes, they look the same, they said they look too lightPeep my cup, betcha couldn't tell that it was SpriteI give a fuck about her face, she walkin' with a bamski, I'ma strike"
6,spotify:track:0d5OZ7YYD8YXlXGitjHO0n,Live For Me,Omar Apollo,False,0.584,0.478,0,-6.905,0.0305,0.579,0.000316,0.153,0.118,95.973,61,"[Verse 1]You told meYou won't live too longAnd I wish ICould say something to change[Pre-Chorus]How you feel about the way your life is goin'?And tell me why you'd wanna go through it alone, hey[Chorus]Won't you live for me?Or could I live for you?There's nothing I won't carrySo you don't have to[Post-Chorus]Woah, woah, woah (Ooh)(Ooh, ooh, ooh)(Ooh, ooh, ooh)(Ooh, ooh, ooh)[Verse 2]Never meant to hurt you with what I saidDidn't think I deserved youWhat you giveThe color in my eyes is turnin' red, eh"
8,spotify:track:0S1fmk6xz49SHINeXXpStW,Different About You,Old Dominion,False,0.542,0.84,1,-5.181,0.0508,0.000564,0.00028,0.244,0.67,92.154,61,"[Intro](Ooh, I)(Ooh, I)[Verse 1]I don't wanna beThe wallpaper in the backgroundI'd rather beThe book by the bed that you can't put down[Pre-Chorus]Don't nobody wanna be the yellow StarburstEverybody reachin' for the cherry firstOf all of the ways I could want youI want you in the worst[Chorus]I wanna be your favorite ""hello""I wanna be your hardest ""goodbye""The reason that you can't stay awake in the day'Cause we can't get enough and it's keepin' us up all nightAnd when your friends all say""Something's changed, there's sort of an aura around you""Ooh, II wanna be what's different about you"
9,spotify:track:0FnuaL9AcJxAdzwGPcIHVr,DANCE WITH ME,blink-182,True,0.358,0.91,7,-2.487,0.125,2.18e-05,0.0,0.264,0.728,199.955,72,"[Intro: Tom DeLonge]When I teach masturbation, I'm always just like, ""Have fun with it""[Verse 1: Tom DeLonge]Don't think, maybe she won't refuseShe knows everything that I thinkThat girl, prettiest I could loseMy game's shittiest it could beI've been waiting around to loseSo dumb, trying to make believeYou're mine, what are you gonna do?Come here, do you want to come dance with me?[Pre-Chorus: Mark Hoppus & Tom DeLonge]Tellin' your friends you know you want to (Dance with me)Shaking those hips like the devil's got you (Dance with me)Waiting all night 'cause now I want you (Dance with me)Eyeing that chance, here we go, I got you (Dance with me)[Chorus]Olé, olé, olé, oléYeah, we're doing it all night longOlé, olé, olé, oléYeah, we're doing it all night longOlé, olé, olé, oléYeah, we're doing it all night longOlé, olé, olé, oléYeah, we're doing it all night long"
10,spotify:track:4PrGyX4YgCT6V3YqY7XEUw,Only In My Mind,Kenya Grace,False,0.701,0.76,8,-9.588,0.107,0.701,0.138,0.111,0.423,143.007,68,"[Verse 1]In my room, I hear you call my nameYour perfume inside my pillowcaseI feel you and your fingers traceBut I know you haven't been here in days and[Refrain]I have a video that I watch in my bedIt replays in my head[Pre-Chorus]You say you love meWe, we lay together every nightYou touch meI, I, I'm losin' track of timeYou kiss meI, I, I look into your eyes[Chorus]But it's only in my mindBut it's only in my mindBut it's only in my mindBut it's only in my mindBut it's only in my mind[Verse 2]Honestly, I only think of youSee your face alone in a crowded roomHallucinate, that is the one where you layBut I know you haven't been here in days and"
11,spotify:track:787Y2idwCU2Rk60Prv4wpr,Saving Up,Dom Dolla,False,0.747,0.822,3,-6.373,0.0721,0.00353,0.132,0.165,0.578,129.994,66,"All I need is for you to be mine, you to be mine, you to be mine (Oh)All I need is for you to be mine, you to be mineSome people save for a diamondSome people save for a rideBreaking backs for a place in the city (Oh-oh)Like that'll keep them satisfiedI don't need your bread or your butter (No, I don't)What I want don't cost a dime (Don't cost a dime)I need this more than a number (Number)All I need is for you to be mine, you to be mine, you to be mine (Oh)All I need is for you to be mine, you to be mine, you to bе mine (Oh)All I need is for you to be mineIf you'rе gonna be saving upSave your love for me (Oh-oh)If you're gonna be saving upSave your love for me (Ooh, ooh-ooh)If you're gonna be saving upSave your love for me (Oh-oh)If you're gonna be saving upSave your love for me (Ooh, ooh-ooh)Save your love for me, ehSave your love for me (Oh, if you're gonna be saving up, yeah)Save your love for me (Save your love on me)Save your love for me"
13,spotify:track:1TsArKeEAf1VPEdT98ZuUM,A Running Start,Sufjan Stevens,False,0.528,0.322,3,-10.569,0.0302,0.928,0.0234,0.105,0.458,176.028,59,"[Verse 1]If I imagine myself peaceful on the fire escapeHead first, my hands inside my T-shirt, as we run awaySo now we have a running startMy body moves in mystic waysI cross my arms to shield my heartAs everything turnst into waves[Pre-Chorus]I see the light upon the lakeThe silver moon, the water snakeA pair of eyes, a gentle breezeForgotten tales, a wild beast[Chorus]I know, I know the time has come to ask you for a kissDon't go, my lovely pantomime, receivе of me my only wishOoh-ooh, ooh-oohOoh-ooh-ooh, ooh-oohOoh-ooh, ooh-oohOoh-ooh-ooh, ooh-ooh[Verse 2]If I align myself with Pisces in a funny wayCan you, my lovеr, kiss my bracelet, and my shoulder blades?We’ve always had a running startI jump between the trampolinesYou throw your arms around my heartAs if to say you're all I need"
15,spotify:track:6RcAHyC5sAUIbPTkhOQwd8,Y LLORO,Junior H,True,0.728,0.589,7,-7.115,0.0376,0.424,7.78e-06,0.166,0.767,77.475,81,"[Letra de ""Y LLORO""][Verso 1]No hay mensajes de mi amorEsa niña ya cambióNo supe ni cómo fueTan solo no la miréY poco a poco, bebé, tú te me alejabas másYa no quise ni entender el por qué ahora ya no estás[Coro]Y lloroBaby, te juro que me siento soloY aunque a veces a la noche le imploroQue vuelvas porque ahora me siento soloAunque a veces tomando no la aguantoY me dice que no será pa' tantoY yo intentando contener mi llantoHaciendo como que no duele tanto[Interludio]Puro Junior HCómo no[Verso 2]Te fuiste sin dar razónMe dio un beso y se marchóPensé todo estaba bienPero creo que así no fueSi de mí todo entreguéY siempre me han pagado malEl cora que te regalé lo dejaste en mi casa"
16,spotify:track:1EKpwGoisV5nUOqqMZ7gAJ,Simply Paradise,Mac DeMarco,False,0.843,0.224,2,-12.398,0.123,0.792,0.00725,0.0725,0.784,78.76,65,"[Intro: Mac DeMarco, Ryan Paris & Both]Yeah-yeah, yeah-yeah, yeahUh, oh, yeah, baby give your love to me, uh-huhYeah-yeah, yeah-yeah, yeahCome on, baby, nowSimply paradise[Verse 1: Ryan Paris & Mac DeMarco]Uh, it's so long, oh, too longI just really want to take it home, uhI know I can make you turn madWoah, no, no, no, yeahI'm jammin' over lovin' for a long timeBaby, it's movin' all right[Chorus: Mac DeMarco, Ryan Paris & Both]My heart definedShe is simply paradiseBut her love is mineIs mine foreverDon't try, don't try to have herShe will be mineSimply paradise[Verse 2: Mac DeMarco, Ryan Paris & Both]You got to know that she doesn't likе youWell, you know your love is ordinary (Your love)Right on, right on, right on nowOh, baby, simply paradisе (Yeah)"
17,spotify:track:34mIasINn8fmO54la1cDaM,Blanket,Kevin Abstract,False,0.57,0.931,2,-5.365,0.0316,0.000708,0.311,0.198,0.655,128.997,54,"[Chorus]Memory, memoryThere's no you's and no me's[Post-Chorus]Woah, woahWoah, woah[Verse]I thought these things about meWere momentary[Chorus]Memory, memoryThere's no you's and no me's[Post-Chorus]Woah, woahWoah, woahWoah, woahWoah, woahWoah, woahWoah, woahWoah, woahWoah, woah"
18,spotify:track:1nO6DT2QIYTxwLGrfQvIt3,club heaven,Nessa Barrett,True,0.396,0.64,11,-6.209,0.208,0.0804,0.0,0.0824,0.371,95.633,68,"[Verse 1]You always liked an afterparty, so I guess I shoulda knownSaid we hate the paparazzi, now you're somewhere they can't goI hope you know I'm sorry that I'm not with you right nowCan't pick up when you call me, can't hear it through the clouds[Pre-Chorus]I've been waitin' right outsideTryna bribe the bouncerHe says, ""Not tonight""[Chorus]I hope you're dancin' in club Heaven (Yeah)Smokin' some bluejay with your legends (Yeah)I bet you're up in the V.I.P., raisin' some hell for meUntil I get in (I can't get in)To club Heaven[Verse 2]The music's never stoppin', and the lights never turn onThe saints are all on Molly, and you're talkin' shit with GodI'm searchin' for your halo 'cause I'm not havin' funIn a city full of angels that's missin' the best one[Pre-Chorus]I wish I could cut the lineBeen tryna bribe the bouncerHe says, ""Not tonight"""
19,spotify:track:0I2BCIvlzrb6Iix9hAbQFF,Problematic,BoyWithUke,True,0.737,0.781,6,-5.965,0.0415,0.114,0.0,0.132,0.94,132.08,66,"[Verse 1]Her laughter's for anotherHer motions are disguisedHer makeup doesn't coverWhat I see behind her eyesYes, I know that nothing's wrongBut what's the harm in asking, ""Why?""I know that you're not tiredWhere the fuck were you tonight?[Pre-Chorus]Baby, let me be, take my noose and set me freeLight my home on fire, take me higher than I wanna beBaby, on my knees, beggin' for the sweet releaseLet mе hear the choir full of liars, tell 'еm I want peace[Chorus]I wish I wasn't problematic, I'm semi-automaticI'm trying not to panic, panicI'm burning bridges into ashes, light them up like matchesHow could you understand it, stand it?[Verse 2]This morning‎ she skipped breakfastSaid, she was running lateHer actions turn her recklessShe began making mistakesAnd I noticed something off'Bout her cadence yesterdayShe didn't even noticeThat she called me by his‎ name"
20,spotify:track:1vJmd8YIIAz6XQ9GHlUr5p,Normal People Things,Lovejoy,False,0.399,0.994,1,-2.923,0.116,0.000416,0.000501,0.251,0.417,180.052,74,"[Intro]Panic attack, the backing trackA background hum for cerebellum[Refrain]Oh, what a blessing to meet someone like youWith eyes as dead as mine, it's fineIt's normal people things just to lie here in silence[Verse]Spending days in self-medicatingLost too much weightUnpleasant aftertasteWe think the same, play different gamesSince I like to refuse, hope you blink before I doThen pray and pray that you'll go and do it anyway[Chorus]Hold your breath, I'll make it worth the waitHold your breath to your chestAnd come back and see me, yeah[Bridge]You rub the makeup off my neckThat I was using to hide the stubble rashI gave myself while shavingYes, it's probably a razor thing but honestly, it's harmlessAnd I refuse to let the sensitive skin win"
21,spotify:track:5Izy5w7WRKyOTH7CtWgyPG,Never Been Over,Darius Rucker,False,0.586,0.357,4,-7.559,0.0288,0.853,0.0,0.095,0.5,151.727,55,"[Verse 1]We’ve been good and bad, hot and coldAnd fightin’ mad, solid goldBeen sunny days, straight line windBeen driven slow and guilty as sin[Verse 2]Been backroads lost and blue lights foundDead of quiet, rockstar loudBeen up and down like we’re built on springsWe’ve been a lot of things[Chorus]But we’ve never been splittin’ up friends, splittin’ up recordsPuttin’ up walls, burnin’ down lettersGrass is greener ’cause there’s something betterWaitin’ down the line[Verse 3]We’ve never been a headlights-weaving, taillights fadin’So long, move on, goodbye waitin’Never been one last long look across your shoulderWe’vе been a lot of things, but we’ve nevеr been over[Verse 4]We’ve been two pink lines to up all nightBrake on the left, gas on the rightBeen 18 years around the sunKnowing that day will come"
22,spotify:track:0XklTT2Yejv5bhbomw5u8r,Planet Express,Cuco,False,0.401,0.624,2,-6.759,0.0298,0.0413,0.00738,0.156,0.0791,137.004,54,"[Chorus]Baby, don't you knowHow beautiful you are?My life came crashing down the day you left my heartI wish you could seeThat you belong with meMy life has no meaning if you're far away and not next to me[Verse 1]Time passes by and you say, ""It only gets better""Doesn't seem to be the caseAt least not in my lifeDrowning in sorrow on all the most beautiful daysAll I do is complainThat you're not here[Pre-Chorus]Tryna figure out things that don't make sense to meHopeless like someone, so hopeless can bеTimes keep on changing, I'm tired of fakingLike I'm not numb whеn life is amazing[Chorus]Baby, don't you knowHow beautiful you are?My life came crashing down the day you left my heartI wish you could see (I wish you could see)That you belong with me (You belong with me)My life has no meaning if you're far away and not next to me"
24,spotify:track:6FTtvuPD4Xas3Oj7XJFf3C,Hands Tied,Majid Jordan,False,0.78,0.406,0,-12.431,0.0479,0.725,0.483,0.0894,0.712,139.997,60,"[Verse 1]I was stressed out, goin' out of my mindWhen you found me, you know you caught my eyeYou really calmed me down, it was a different timeYou really showed me, you know me[Chorus]Sunlight on the waterFar as I can seeNow we found each otherIt's making sense to me[Verse 2]Out the window, sneakin' out of your roomWhile they all sleep, you gotta find me soonI'm in my car now (Feelin' it, feelin' it)You know what to do, you come and meet me (That shit so special, that shit so special)It's after dark nowPut your soft hands on me, show me[Chorus]Sunlight on the waterFar as I can seeNow we found each other (Ooh-ooh-ooh)It's making sensе to me"
28,spotify:track:35TuvgQOcLcZmGlZZ3cAGq,Hey DJ,Joel Corry,False,0.598,0.847,5,-4.414,0.045,0.0216,0.00438,0.333,0.534,139.956,64,"[Intro]Hey, DJI don't wanna hear my heart breakin'My feelings are loud enoughPlay me somethin' to lift me up and save meAnd save me, save me, save me, save meWill you save me, save me, save me, save me?[Chorus]Hey, DJI don't wanna hear my heart breakin'My feelings are loud enoughPlay me somethin' to lift me up and save meHey, DJI don't wanna hear my heart breakin'Before I get too messed upPlay me somethin' to lift me up and save me[Post-Chorus]Hey, DJWill you save me, save me, save me, save me?[Verse]Tell me how I got hereI can't find no inner peaceCaught up in the night beforeDrownin' out the memories (Oh)Don't wanna see the mornin'Just wanna wake up in a dreamWhere I can't feel this pain no moreI know you got the remedy"
29,spotify:track:3G7MgLuWLzUJQflWOCDZit,Off The Record,IVE,False,0.767,0.745,10,-5.338,0.0449,0.101,0.0,0.192,0.842,107.984,72,"[아이브 ""Off The Record"" 가사][Verse 1: Leeseo, Rei]시간이 됐어, it's two A.M목소릴 낮추고 더 속삭여줄래이 밤이 좀 더 깊어지면뭔가 더 솔직해도 될 것 같은 기분이 들어[Pre-Chorus: Liz, Gaeul]있잖아 가끔 난 무척발칙한 상상을 해남들은 절대 모를 걸이젠 비공개 mode야[Chorus: An Yujin, Jang Wonyoung]Off the record nightThis late night conversation멈추지 않아No more timeNo more ""kill my vibe""This late night conversation잠들지 않아[Verse 2: Rei, Jang Wonyoung]Yeah, 비밀스럽게 잠겨진 문그 맘을 우리에게 살짝 열어줘떠나, forbidden island, 찾아, forbidden fruit가끔은 왠지 금지된 게 궁금하거든, yeah"
30,spotify:track:44cwcFNclhaQm29UTexzDg,Hell,Sleater-Kinney,False,0.349,0.478,2,-9.149,0.0405,0.0432,3.31e-05,0.0954,0.153,127.888,48,[Verse 1]Hell don't have no worriesHell don’t have no pastHell is just a signpostWhen you take a certain pathHell needs no invitationHell don't make no fussHell is desperationAnd a young man with a gun[Chorus]You askWhy like there's no tomorrowYou askWhy like there’s no tomorrow[Verse 2]Hell don't have no futureHell don't have no doubtHell is just a place thatWe can't seem to live withoutI pull myself in piecesPull myself apartIt's like looking in a mirrorWith a stranger looking back
32,spotify:track:6BIlXbxx0kRiUdnmX8L1I9,Kissing In Swimming Pools,Holly Humberstone,True,0.449,0.33,4,-8.34,0.0333,0.497,3.24e-05,0.0737,0.213,152.012,58,"[Verse 1]Pick me up from my parents' placeAll at once, I feel less insaneI'll steal a glanceAs you're singing your heart out to something embarrassingI wanna know if you think about me that way[Verse 2]When it rains, I wanna share your umbrellaDo you think that we're made to last in the coldest of weather?I wanna be the one that gets to fix you, honeyI wanna sleep to your sound[Pre-Chorus]When you found me, I was a train wreckYou gathered my bones in a blanket[Chorus]So, can we kiss in your swimming pool?In this bathing suit, I would die for youMaybe I don't have to leave so soonYou look heavenly in this shade of blueWe don't have to complicate itI just wanna be alone with youI— I just wanna be alone with you"
33,spotify:track:6qDNh0axas6ZxjnMraUasM,Luv To A Fck Song,Vedo,True,0.731,0.667,3,-5.398,0.109,0.0985,0.0,0.113,0.492,86.978,48,"[Intro]Oh, oh-oh, oh, oh-oh, ohYeahIt's VEDO, babyYeah[Chorus]I just want a girl who gon' fuck me like a thotHit it from the back in my brand new dropFuck her with my chains on like I'm 2PacMakin' love to a fuck song, please don't stopAw yeah, not yet, please, don't stopMakin' love to a fuck song, please, don't stopAw yeah, right there, girl, don't stopKnock it out the frame, make the bedroom rockMakin' love to a fuck song, please, don't stop[Verse 1]Grippin' on that ass with some passionShe do everything the song say, nastyI love it when you do that shit with passionI ain't gassin', now I see why you was braggin'Ooh, ooh, you got a nigga tryna to spend that on you, spin back on you (Oh)And the way you do it to the beat, girl, you got me thinking I might spoil you[Pre-Chorus]Sexin' all night and dayTake it all girl, have your way with me (Give it all  to me)She bring it back like she the DJ, ayy"
