,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
0,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Doja Cat,True,0.868,0.538,5,-8.603,0.174,0.269,3.34e-06,0.0901,0.732,99.968,100,"[Intro: Dionne Warwick]ByWalk on byWalk on byWalk on byWalk on by[Chorus: Doja Cat]Yeah, bitch, I said what I saidI'd rather be famous insteadI let all that get to my headI don’t care, I paint the town redBitch, I said what I saidI'd rather be famous insteadI let all that get to my headI don't care, I paint the town red[Post-Chorus: Doja Cat]Mm, she the devilShe a bad lil’ bitch, she a rebelShe put her foot to the pedalIt'll take a whole lot for me to settleMm, she the devilShe a bad lil' bitch, she a rebelShe put her foot to the pedalIt'll take a whole lot for me to settle (Yeah, yeah)"
1,spotify:track:5RHIevCuoIZcY1AlnJ01fN,Bittersweet Goodbye,Issey Cross,False,0.458,0.91,9,-2.286,0.123,0.0144,5.05e-06,0.0416,0.313,173.955,75,"[Verse]I knew straight up when I met youI saw it your eyes, thought it would be like mineSo don't think I'll ever forget you — no, no, no, butThose moments spent with you 'til the sky's turnin' blueI'll see you on the other sideWe'll say a bittersweet goodbye tonightCan we keep this high alive tonight?I'll see you in another life, do it all again sometimeWe'll say a bittersweet goodbye tonight[Drop]A bittersweet goodbyeBittersweet goodbyeWe'll say a bittersweet goodbye tonightCan we keep this high alive tonight?We'll say a bittersweet good-[Verse]I knеw straight up when I met youI saw it your eyеs, thought it would be like mineSo don't think I'll ever forget you — no, no, no, butThose moments spent with you 'til the sky's turnin' blueI'll see you on the other sideWe'll say a bittersweet goodbye tonightCan we keep this high alive tonight?I'll see you in another life, do it all again sometimeWe'll say a bittersweet goodbye tonight"
2,spotify:track:5VJETUjJ7y46bAz4min5IB,vampire,Olivia Rodrigo,False,0.474,0.559,5,-5.683,0.0557,0.165,0.0,0.186,0.318,137.466,72,"[Verse 1]Hate to give the satisfaction asking how you're doing nowHow's the castle built off people you pretend to care about?Just what you wantedLook at you, cool guy, you got itI see the parties and the diamonds sometimes when I close my eyesSix months of torture you sold as some forbidden paradiseI loved you trulyYou gotta laugh at the stupidity[Chorus]'Cause I've made some real big mistakesBut you make the worst one look fineI should've known it was strangeYou only come out at nightI used to think I was smartBut you made me look so naiveThe way you sold me for partsAs you sunk your teeth into me, ohBloodsucker, fame fuckerBleedin' me dry like a goddamn vampire[Verse 2]And every girl I ever talked to told me you were bad, bad newsYou called them crazy, God, I hate the way I called 'em crazy tooYou're so convincingHow do you lie without flinching?(How do you lie? How do you lie? How do you lie?)Oh, what a mesmerizing, paralyzing, fucked up little thrillCan't figure out just how you do it and God knows I never willWent for me and not her'Cause girls your age know better"
8,spotify:track:6iF4RgIjDvDqyW13PezSj3,Single Soon,Selena Gomez,False,0.61,0.571,2,-5.649,0.0782,0.00863,0.0,0.131,0.747,105.01,89,[Verse 1]Should I do it on the phone?Should I leave a little noteIn the pocket of his coat? YeahMaybe I'll just disappearI don't wanna see a tearAnd the weekend's almost here[Chorus]I'm pickin' out this dressTryin' on these shoes'Cause I'll be single soonI'll be single soonI know he'll be a messWhen I break the newsBut I'll be single soonI'll be single soon[Post-Chorus]I'ma date who I wannaStay out late if I wannaI'ma do what I wanna doI'm pickin' out this dressTryin' on these shoes'Causе I'll be single soonI'll be singlе soon
11,spotify:track:7KQejvX8GC4qMjB8vWSp2p,Vertigo,Griff,False,0.536,0.59,2,-6.57,0.239,0.107,0.000351,0.129,0.257,180.135,74,"[Intro]You're scared of heights, that's vertigoYou wanted lights, go see a showYou ran away, that's touch and goYou're scared of love, well, aren't we all?Well, aren't we all?Yeah, well, aren't we all?[Verse 1]I know that you started to feel what I feelI could tell 'cause you took my hand by the wheelBut you couldn't dare to make it realOh, it's such a shame (You left it here)[Pre-Chorus]And I wasn't askin' for a lifetimeI was just askin' you to take my handJust for a minute or a nightWas it too much to ask?[Chorus]You're scared of heights, that's vertigoYou wanted lights, go see a showYou ran away, that's touch and goYou're scared of love, well, arеn't we all?You felt alive, that's chеmicalYou felt secure, that's called a homeCouldn't take the heat, that's MexicoYou're scared of love, well, aren't we all?Well, aren't we all?(Well, aren't we all?)"
12,spotify:track:1HteYUSXKUMm6A8vdZid7p,Tension,Kylie Minogue,False,0.784,0.673,5,-6.096,0.0439,0.27,0.156,0.087,0.693,120.032,72,"[Verse 1]I'm a star babe-babe-babeDo this all day-day-dayCool like sorbet-bet-bet(Cool like sorbet-bet-bet)Bet you can't wait-wait-waitHands up on me-me-meHot like chilli-li-li(Hot like chilli-li-li)[Refrain]Ooh, thoughts of me fill up your mindEvery day and every nightIt's the way I make you feel (Uh)Baby, there ain't nothin' betterAnd I could do this forever with youWith you, with you, with you[Pre-Chorus]A-a-all night, touch me right there (Doo-doo, doo-doo)Touch me right there (Doo-doo, doo-doo)Touch me right thereBaby, break the tensionAll night, touch me right there (Doo-doo, doo-doo)Touch me right there (Doo-doo, doo-doo)Touch me right thereBaby, what you missin'?"
13,spotify:track:4yavYy5vhqkX8Sv8DRqVbJ,DANSE MACABRE,Duran Duran,False,0.585,0.85,2,-5.695,0.0299,0.000687,0.014,0.39,0.388,96.011,52,"[Verse 1]Halloween girl seize the frayBrothers and sisters lead the wayShackled to the rhythm, your soul is weighedSo you better get down on your knees and pray[Verse 2]Comin’ out for the Hawsker mad bullJumpin on the hot seat, lyin’ in the deadpoolDelivery quick, expensive mistakeThe damage, the damage, the damage, the damage[Pre-Chorus]Hey, no waySome ghost drivin’ an AC CobraAuto-da-féGet dirty up on the Danse MacabreHey, no wayI had you down for the cat’s pajamasAuto-da-féGet dirty up on the Danse Macabre[Chorus]If you don’t mind, if you don’t mindIf you don’t mind, if you don’t mindIf you don’t mind, if you don’t mindIf you don’t mind diggin down the gold mineIf you don’t mind, if you don’t mindIf you don’t mind, if you don’t mindIf you don’t mind, if you don’t mindIf you don’t mind diggin down the gold mine"
17,spotify:track:7bI0nfpRuGN5BUW23Auw26,Driving To Nowhere,Nathan Evans,False,0.725,0.649,2,-7.491,0.0596,0.43,0.0,0.453,0.374,134.986,55,"[Verse 1]It's been a while since I got myself in troubleJust running 'round the streets like we didNot a care when we were all togetherStaying up till the dawn talking, ""shh""I don't know where it wentAnd looking back I know that it was everythingI'm turning back the yearsI need to find the reason why I'm here[Pre-Chorus]Jumping in the water, we can let goDancing in the moonlight never go homeJoey's in the corner talking 'bout lifeWe're all getting wasted living for the night, oh yeah[Chorus]So we're driving to nowhereWe're in no rush to get thereAnd we're driving to anywhereTaking back time, just let go[Verse 2]You'll never know what´s behind every doorIf you're gonna leave them closed and untouchedIf we go where we have never knownThen, maybe that's where we find loveTime is heaven-sentAnd looking back I know that it was everythingI'm turning back the yearsI need to find the reason why I'm here"
18,spotify:track:2Jh44UZ8vuwjxtQlbxJJki,Afterglow,Sam Fischer,False,0.643,0.711,11,-5.909,0.0798,0.0907,1.86e-05,0.359,0.699,164.908,55,"[Intro]Ready?YeahOne, two, three, four[Verse 1]In a minute, all at onceStopped dead at the doorI'm smilin' like I caught up with GodAnd He told me not to worry at all, yeahSupersonic, half a nightMaybe I'm overtiredI'm laughing just a little too muchI'm rememberin' the way that it was[Pre-Chorus]I found it, want it to stayMy broken heart starts to raceI can't look, can't look awayI can't look away[Chorus]Now I'm, I'm up so closeIn a blindin' lightI can see it all (See it all)Now I, I have to knowWhat the feeling's likeIn your afterglow"
19,spotify:track:3dnP0JxCgygwQH9Gm7q7nb,Ella Baila Sola,Eslabon Armado,False,0.668,0.758,5,-5.176,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,89,"[Letra de ""Ella Baila Sola""][Verso 1: Pedro Tovar & Peso Pluma]Compa, ¿qué le parece esa morra?La que anda bailando sola me gusta pa' mí¡Bella! Ella sabe que está buenaQue todos andan mirándola cómo bailaMe acerco y le tiro todo un verboTomamos tragos sin peros, solo tentaciónLe dije: ""Voy a conquistar tu familia, que en unos días vas a ser mía""Me dijo que estoy muy loco, pero le gustaQue ningún vato como yo actúa[Interludio: Pedro Tovar & Peso Pluma]Y ahí te va, mijaY pura Doble P, viejoAsí nomás, compa PedroPuro Eslabon ArmadoPa' las plebitas¡Cha-chau![Verso 2: Peso Pluma & Pedro Tovar]No soy un vato que tiene varoPero hablando del corazón te cumplo todoMe agarró pegadito dе su manoMi compa ni se la creyó, que al pasar fui yoSu cuеrpo, juro por Dios, que era tan perfectaSu cinturita como modeloSus ojos desde el principio me enamoraronA ella le gusto y a mí me gusta"
