,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
0,spotify:track:6axvnGwB3rtoriGI1lPhTz,Chinese New Year,SALES,False,0.744,0.845,4,-7.422,0.253,0.759,0.232,0.1,0.749,75.221,52,"[Chorus]I'll see you at the moviesI see you with your lipstick onI'm looking out for cosmosI'm hoping that we get alongIt's time for innovationIt’s time for us to make a changeIt's time for a Chinese New YearIt's time for me to make a way[Refrain]And I can’t, no I can’t wait to get far from hereNo I can’t, I can’t wait to get out of hereNo I can’t, no I can’t, no I can’t wait to get out of here[Chorus]I'll see you at the moviesI see you with your lipstick onI'm looking out for cosmosI'm hoping that we get alongIt's time for innovationIt’s time for us to make a changeIt's time for a Chinese New YearIt's time for me to make a way[Verse]Sweared a lotAnd I bared a lotI was there a lotLast yearWept a lotOh, baby, you slept a lotI was left a lotLast yearPleased a lotBaby, you seized my heartAnd IStarted to fall last year"
2,spotify:track:2KKijf6Ett4kmVNJze2roh,The Git Up,Blanco Brown,False,0.847,0.678,9,-8.635,0.109,0.0669,0.0,0.274,0.811,97.984,69,"[Intro]Right nowI just need you to get real looseGet comfortableGrab your loved ones or grab your love, partnerAnd if you're by yourself, no worriesJust follow after me[Chorus]Go'n and do the two-step, then cowboy boogieGrab your sweetheart and spin out with 'emDo the hoedown and get into it (Woo-hoo-hoo)Take it to the left now and dip with itGo'n throw down, take a sip with itNow lean back, put your hips in it (Woo-hoo-hoo)Let's have some fun[Verse 1]To the left, to the left now (To the left, to the left)To the right, to the right (To the right)Now take your left hand and (Uh)Put it on your side (Put it on your side)Go'n roll your shoulders (Roll your shoulders)Do the slip and slide (Do the slip and slide)This next part's my favorite part, uh'Cause it's time to shine"
5,spotify:track:0UeYCHOETPfai02uskjJ3x,Shooting Stars,Bag Raiders,False,0.636,0.72,11,-6.195,0.0432,0.0893,0.0178,0.0868,0.425,124.944,68,"[Intro](Oooh, oooh)(Oooh, oooh)(Oooh, oooh)(Oooh, oooh)(Oooh)[Verse: Rhys Taylor]It's late and I'm awake, starin' at the wallOpen up my window, head floats out the doorNo one else around, the shimmer takes my eyeI lift my head, blinded by the skyFeel my weight in front, followin' the soundMoves away so fast, fall down to the groundI know there's more to come, jump back to my feetNow I only see ahead of me, chasin' down the street(Down the street, down the street, down the street, down the street, down the...)[Interlude][Bridge]Oooh, ooohOooh, ooohOooh, ooohOooh, ooohOooh, ooohOooh, oooh(Oooh, oooh)"
6,spotify:track:1FOINGDWa0dPgCpMabLT4Y,fast,Sueco,True,0.861,0.599,7,-7.814,0.217,0.182,0.00855,0.102,0.527,100.026,63,"[Intro]KenzDeanI'm at, I'm at Sueco's, bitch[Chorus]FastFour hundred on the dashFifty-five billsBuck fifty for the tax on the bagI don't really like to bragVetements socks when I'm steppin' out of SaksI'ma hit in the morning 'cause I'm whiskey dickin'Got my brother out in Cashville flippin' chickensFree bro from the can, I ain't talkin' whippitsBitch, I make beats and bad decisions[Verse 1]You at Sueco'sStop the bitchin'I ain't really fuckin' with you if you ain't with the visionFirst time she came through, pulled down my britchesI ain't spendin' no bread, but I'll pay her a visitI'm at LIV goin' up, but you can't get in itShe want a hit, I'm rollin' up, got that Popeye spinachTold me that I'm a child, told her, ""Quit the kiddin'""I'ma pass it to my rell, let him hit the kitten"
7,spotify:track:56JyMaElW79S7TDWh1Zw1m,On A Roll,Ashley O,False,0.736,0.81,5,-6.354,0.0906,0.077,0.0,0.0523,0.387,125.011,57,"[Verse 1]Oh honey, I'll do anything for youOh honey, just tell me what you want me toOh honey, kiss me up against the wallOh honey, don't take anything, just have it all[Pre-Chorus]Yeah, I can take it, so don't you fake itI know your love's my destinyYeah, I can take it, please demonstrate it'Cause I'm going down in history[Chorus]Hey, yeah, whoa-ho, I'm on a rollRidin' so high, achieving my goalsHey, yeah, whoa-ho, I'm on a rollRidin' so high, achieving my goals[Post-Chorus]I'm stoked on ambition and verveI'm gonna get what I deserveSo full of ambition and verveI'm gonna get what I deserve[Verse 2]Oh honey, let's get in through the doorOh honey, not concerned who sees us ripping up the floorOh honey, we'll go dancing wherever you chooseOh honey, you know we just can't lose"
8,spotify:track:78ML3F5Lz3KiNkpnFAaR3q,Good Girls Bad Guys,Falling In Reverse,True,0.474,0.948,3,-2.592,0.122,0.0223,0.0,0.43,0.611,146.46,67,"[Chorus]So why do good girls like bad guys?I had this question for a real long timeI've been a bad boy, and it's plain to seeSo why do good girls fall in love with me?[Verse 1]You've got pep in your step, you live your life with no regretHow you look when you are wet is something I cannot forgetI just wanna kiss your lips, the ones between your hipsIf I cashed in all my chips on you, then, baby, I'd be rich[Pre-Chorus]So come onSexy, please, text me, I'm ready for youSo come onWaiting, I'm begging, so, please, get here soon[Chorus]So why do good girls like bad guys?I had this question for a real long timeI've been a bad boy, and it's plain to seeSo why do good girls fall in love with me?[Verse 2]Ooh la la, what lovely curvesBaby, I get off by getting you off firstSorry, girl, if this is quickSo, please, just take it in the ass and suck my dick"
9,spotify:track:0Y08zhvCal5BZZNS0RqBFN,Just Did a Bad Thing,Bill Wurtz,False,0.754,0.526,1,-12.96,0.0435,0.00261,0.466,0.113,0.716,117.051,40,"[Intro]I just did a bad thingI regret the thing I didAnd you're wondering what it isI'll tell you what I didI did a bad thing[Verse 1]I'm having a bad dayIt's turning into a bad yearAll the things I'm supposed to doAnd the places I'm supposed to goAre canceled (Oh-oh-oh-oh-oh-oh-oh-oh)[Chorus]Hey, what's the name of this game?And how do you play it?And how long does it take? (Bing-bong, bay-oh)And how many times is the game going to change? (Ah)Hey, let me out of this placeOut into the real worldWhere maybe things can go my wayOh, everything goes my wayOh, everyone knows my name[Verse 2]I'm having a bad dreamI wonder what this bad dream meansI wonder if I'm sad? I wonder if I'm glad?Or if I'm just having a sad, glad dream?"
15,spotify:track:4J2NxCNqehE0MiZhbu97Jx,Beef FloMix,Flo Milli,True,0.857,0.575,7,-8.36,0.221,0.239,0.0,0.293,0.901,116.993,52,"[Intro]HahFlo Milli shit, bitch[Verse 1]I like cash and my hair to my ass (I do)Do the dash, can you make it go fast? (Go, go)Fuck the fame, all I want is them bands (Money)If she keep on muggin', I'ma steal her man (I got him)He watchin' my behavior 'cause he know I'm badPussy put a spell on him, he in a trance (Damn)I do what I please and you do what I ask (Haha)He love my confidence and that's what you lack (You love it)If you think I'm stealin' swag, bitch, come and sue me (Sue me)They watch me like I'm a new movie (A movie)His baby mother is my groupie (Yeah)We got the club going up on a Tuesday (Go, go)Like an OMG girl, I'm a beauty (Beauty)If it don't go my way, I get moody (Moody)Nigga, flexin' on you is my duty (Duty)I’m the big dawg, my nickname is ScoobyWho got beef with me? (I don't know)Girl, you don't wanna competeI'm too fast on my feet (Yes, you don't)And you know where I beMaking you mad is my specialtyI'm the petty queenI need you to have a seat (Bye)My dad will drill you like a cavity (Cavity)And he won't let you in on his strategyBetter think twice when you come for our family (Ho)Honey, you're gonna cause a fatality (You out of here)Can't do no broke ho, they give me allergies (Ew)But I know they love my personality (Yeah)Maybe 'cause I got a nigga mentalityI’m tryna make a million my salary (Money)I might've took a LBut I'm pretty sure nobody could tell (I'm up, I'm up)It took me a while to come up out my shell (It did)At least I could say I did it with no help"
16,spotify:track:6MpCaSIOfqBqbMED4kXgNY,Prom Queen,Beach Bunny,False,0.528,0.797,4,-7.487,0.0485,0.000391,0.011,0.14,0.751,143.785,81,"[Verse 1]Shut up, count your caloriesI never look good in mom jeansWish I was like youBlue-eyed blondie, perfect body[Chorus 1]Maybe I should try harderYou should lower your expectationsI'm no Quick-Curl BarbieI was never cut out for Prom Queen[Post-Chorus]If I get more pretty, do you think he will like me?[Verse 2]Dissect my insecuritiesI'm a defect surgical projectIt's getting hard to breatheThere's plastic wrap in my cheeks[Chorus 2]Maybe I should try harderYou should lower your beauty standardsI'm no Quick-Curl BarbieI was never cut out for Prom Queen"
21,spotify:track:0WpDeBJ22LcwF4QoERQOTv,Hungry Hippo,Tierra Whack,False,0.893,0.61,4,-5.691,0.0488,0.0227,0.00744,0.102,0.778,136.64,56,"[Chorus]He likes my diamonds and my pearlsI said, ""Thank you, I designed it""Not your average girlHe needed swag and I provided'Vided, open up and bite itBite it, open up and bite itBite it, open up and bite itBite it, shut up, boy, bite it[Verse]He don’t know no better, yeahHeard he got that cheddar, yeahNow that boy with meHe gon' spend it better, yeahPut him on that AlyxGucci on his walletRick Owens on meThey think I'm his stylistBite it[Chorus]He likes my diamonds and my pearlsI said, ""Thank you, I designed it""Not your average girl"
