,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
4,spotify:track:59qrUpoplZxbIZxk6X0Bm3,Take You Dancing,Jason Derulo,False,0.789,0.711,2,-4.248,0.041,0.0332,0.0,0.0876,0.753,112.985,76,"[Intro]Da-da-da-da-da-daDa-da-da-da-da-daDa-da-da-da-da-daDa-da-da-da-da-da (Jason Derulo)[Verse 1]Pull up, skrrt-skrrt on your bodyPerformin' just like my 'RariYou're too fine, need a ticketI bet you taste expensivePourin' up, up, up by the literIf you keepin' up, you's a keeperTequila and vodkaGirl, you might be a problem[Pre-Chorus]Run away, run away, run away, run away, I know that I shouldBut my heart wanna stay, wanna stay, wanna stay, wanna stay nowYou can see it in my eyes that I wanna take you down right now if I couldSo I hope you know what I mean when I say[Chorus]Let me take you dancin'Two-step to the bedroomWe don't need no dancefloorLet me see your best moveAnything could happenEver since I met youNo need to imagineBaby, all I'm askingIs let me take you dancing"
6,spotify:track:5ajjAnNRh8bxFvaVHzpPjh,Reckless,Madison Beer,False,0.386,0.426,3,-6.642,0.0363,0.807,0.0,0.14,0.261,180.104,80,"[Verse 1]HeyThis is a story I hateAnd tellin' it might make me breakBut I'll tell it anywayThis chapter's aboutHow you said there was nobody elseThen you got up and went to her houseYou guys always left me out[Pre-Chorus]I still have the letter you wrote when you told meThat I was the only girl you'd ever want in your lifeI guess my friends were right[Chorus]Each day goes by and each night, I crySomebody saw you with her last nightYou gave me your word, ""Don't worry 'bout her""You might love her now, but you loved me firstSaid you'd never hurt me, but here we areOh, you swore on every starHow could you be so reckless with my heart?[Verse 2]You check in and outOf my heart like a hotelAnd she must be perfect, oh wellI hope you both go to hell"
7,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,deja vu,Olivia Rodrigo,True,0.442,0.612,2,-7.222,0.112,0.584,5.7e-06,0.37,0.178,180.917,88,"[Verse 1]Car rides to MalibuStrawberry ice cream, one spoon for twoAnd tradin' jacketsLaughin’ 'bout how small it looks on you(Ha-ha-ha-ha, ha-ha-ha-ha-ha, ha-ha-ha-ha)Watching reruns of GleeBein' annoying, singin’ in harmonyI bet she's braggin' to all her friends, sayin' you're so unique, hmm[Chorus]So when you gonna tell her that we did that, too?She thinks it's special, but it's all reusedThat was our place, I found it firstI made the jokes you tell to her when she's with youDo you get déjà vu when she’s with you?Do you get déjà vu? (Ah) HmmDo you get déjà vu, huh?[Verse 2]Do you call her, almost say my name?’Cause let's be honest, we kinda do sound the sameAnother actressI hate to think that I was just your typeAnd I bet that she knows Billy Joel’Cause you played her ""Uptown Girl""You're singin' it togetherNow I bet you even tell her how you love herIn between the chorus and the verse (Ooh; I love you)"
8,spotify:track:0Rx0DJI556Ix5gBny6EWmn,Paradise,Bazzi,True,0.844,0.644,11,-6.273,0.0479,0.0828,0.0,0.113,0.591,122.061,73,"[Intro]One, two, three, four[Verse 1]Hands on your body, I'm grabbin' your assEnjoyin' the moment 'cause life move too fastI'm lookin' forward, ignorin' the pastThese are the times that we'll laugh lookin' backI'm gettin' lucky like coins in the wellGoodbye to my haters, I'm wishin' you wellThis is my year, man, if you couldn't tell[Pre-Chorus]This is our life and we livin' it wellLate nights in the city, causin' hellBurn this bitch into the ground, oh wellIf all we got tonight, let's do this rightLet's do this right[Chorus]Let's go to (Paradise)This shit feel like Friday nightsThis shit make me feel aliveI feel like we in paradise, paradise (Paradise)Don't know if it's the drink I pouredBut I swear I've never loved you moreWith you right here, I come aliveOne more hit and we can flyThis shit feel like (Paradise)"
10,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Need to Know,Doja Cat,True,0.664,0.609,1,-6.509,0.0707,0.304,0.0,0.0926,0.194,130.041,81,"[Intro]Yeah[Chorus]Wanna know what it's like (Like)Baby, show me what it's like (Like)I don't really got no type (Type)I just wanna fuck all nightYeah-yeah, oh-woah-woah (Oh, ooh, mmm)Baby, I need to know, mmm (Yeah, need to know)I just been fantasizin' (Size)And we got a lotta time (Time)Baby, come throw the pipe (Pipe)Gotta know what it's like (Like)Yeah-yeah, oh-woah-woahBaby, I need to know, mmm[Verse 1]What's your size? (Size)Add, subtract, divide ('Vide)Daddy don't throw no curves (Curves)Hold up, I'm goin' wide (Wide)We could just start at ten (Ten)Then we can go to five (Five)I don't play with my pen (Pen)I mean what I writеYeah-yeah, woah-woah-woahI just can't help but bе sexual (Oh)Tell me your schedule (Yeah)I got a lotta new tricks for you, babyJust sayin' I'm flexible (I will)I do what I can to get you off (I will)Might just fuck him with my makeup on (I will)Eat it like I need an apron on (Yeah, oh)Eat it 'til I need to change my thong (Yeah, ayy)We could do it to your favorite song (Yeah, ayy)Take a ride into the danger zoneYou know my nigga be buggin' meI just be wonderin' if you can fuck on me betterItchin' for me like an ugly sweaterNeed it in me like a Chuck E. need cheddarI need to know"
14,spotify:track:3ggtU1ZOKO8ZNiqPNyXGcm,Dinero,Trinidad Cardona,True,0.708,0.782,2,-4.687,0.0674,0.00772,0.0,0.107,0.484,119.997,70,"[Intro]Oh-oohOoh, na-na-na-na[Pre-Chorus]No soy traficantePero escucho corridos que juega, tomando Tecate (Eh)Ya dímelo antes, (Eh)Ya si quieres dinero, lo siento, no tengo[Chorus]She take my dinero, take my dineroShe take my dinero (Uh), take my dineroShe playin' hella hard (Hella hard), playin' for pesosShe playin' hella hard (Hella hard), playin' for pesos[Verse 1]I whip, whip, I'm rollin'I got my money openShe texts me ""Good morning""Then I'm ready to go out and buyAnything that she likesGet whatever's on her mindSpendin' money overtime, amorWake myself with the sun of the mornin'I play myself with a stunnin' performanceShe take all my money and now she goneAnd I'm broke as a bitch and I'm all alone, yeahTryin' to ball fourtyWearin' the same clothes, yeahTryin' to stay low, yeahLookin' for pesos, yeah"
16,spotify:track:2Nn40S6ZDlqSDbIJBcXZ1f,Know Me Too Well,New Hope Club,False,0.756,0.706,1,-4.384,0.0393,0.424,0.0,0.0635,0.799,122.925,45,"[Intro: Reece Bibby]Ah-ah, ah-ah (Ah-ah, ah-ah)[Chorus: Reece Bibby]I spend my weekends tryna get you offMy mind again, but I can't make it stopI'm tryna pretend I'm good, but you can tell (Good but you can tell)[Verse 1: Blake Richardson]You're right, I shoulda texted you goodnightI shoulda given more timeI wish I hadn't known this beforeNow I'm replayin' our goodbyeBut it wasn't a goodbyeAnd I still hear you slammin' the door[Pre-Chorus: George Smith & Reece Bibby]Try to hit you up, but you've had enoughYou're screamin' down the phone, ''You don't know what you lost'' (You don't know what you lost)I said, ""I'm fine,"" I didn't care that muchBut I realise when you hang up, I messed this up[Chorus: Reece Bibby]I spend my weekends tryna get you offMy mind again, but I can't make it stopI'm tryna pretend I'm good, but you can tell (Uh)'Cause you know me too, you know me too well"
20,spotify:track:2V2UY7NRx317ZocwTWPTjO,So Big,Iyaz,False,0.697,0.688,6,-4.551,0.0362,0.29,0.0,0.308,0.666,121.962,36,"[Intro]Well, you done know it's your boy I-Y-A-ZAlongside the man JR, Iyaz[Chorus]Now I wanna do it up (so big)Party it up (so big)Spend it up (so big)So the whole world knows my love for you is (so big)My heart is (so big)My love is (so big)For you, for you[Verse 1]Now with a girl like you, nothing you can doBut give the whole world to her 24/7When she looking so sweet, that kind of bodyYou dont mind spending all of your time, time, timeAnd its not that you're asking me for nothingI just wanna show you how deep my love is[Pre-Chorus 1]'Cause with them girls beforeI wasn't feeling so, goneBut with you girlI'm losing control, yo!"
21,spotify:track:0QzuaeCEEOV40Pn7IvKEny,double take,dhruv,False,0.656,0.436,8,-11.141,0.0744,0.845,0.0,0.221,0.196,109.239,84,"[Intro]Ooh-ooh-ooh-oohOoh-ooh-oohOoh-ooh-ooh-ooh[Verse 1]I could say I never dareTo think about you in that wayBut, I would be lyingAnd I pretend I'm happy for youWhen you find some dude to take homeBut I won't deny that[Pre-Chorus]In the midst of the crowdsIn the shapes, in the cloudsI don't see nobody but youIn my rose-tinted dreamsWrinkled silk on my sheetsI don't see nobody but you[Chorus]Boy, you got me hooked onto somethingWho could say that they saw us coming?Tell me, do you feel the love?Spend a summer or a lifetime with meLet me take you to the place of your dreamsTell me, do you feel the love?Ooh-ooh-ooh-ooh"
22,spotify:track:3z06k8YF9CqX0CGFrlekOK,everything sucks,vaultboy,True,0.76,0.371,6,-8.964,0.0531,0.00772,0.0,0.0785,0.653,138.023,75,"[Intro]Ha[Verse 1]Everything sucks, just kiddingEverything is great, no reallyI haven't thought about my ex todayOh, wait–(Fuck, I just did)But I went outside for the first timeIn a few days and it felt niceAnd I might try doing exercise (Haha, not really)[Chorus]I wanna forget my bad days, all my bad daysAnd be okay, and be okaySpend my spare change down at the arcadeAnd then I'll say, I'll say[Verse 2]Everything sucks, just kiddingEverything is better than it used to beI didn't write a song about my ex today(Oh, wait–um)But I called my friends and I told themWe should hang out if it makes sense'Cause I miss thеm and I hate being alone (No, rеally)"
